Cycle_Index,Step_Index,Test_Time_s,Current_A,Voltage_V,Temperature_C
0,2,332.05,0.1602197,4.199893,11.66801
0,2,333.05,0.1609827,4.200046,11.65098
0,2,334.05,0.1599146,4.200046,11.65098
0,2,335.05,0.1599146,4.200046,11.65098
0,2,336.05,0.158999,4.200046,11.65098
0,2,337.05,0.1585412,4.200046,11.65098
0,2,338.05,0.1579309,4.200198,11.65098
0,2,339.05,0.1594568,4.200046,11.65098
0,2,340.05,0.1583886,4.199893,11.65098
0,2,341.05,0.1577783,4.200046,11.65098
0,2,342.05,0.1583886,4.200046,11.65098
0,2,343.05,0.1580835,4.200046,11.65098
0,2,344.05,0.1571679,4.200046,11.65098
0,2,345.05,0.1579309,4.200046,11.63396
0,2,346.05,0.1571679,4.200046,11.63396
0,2,347.05,0.1553368,4.199893,11.63396
0,2,348.05,0.1565576,4.200198,11.65098
0,2,349.05,0.1557946,4.199893,11.63396
0,2,350.05,0.1551843,4.200046,11.63396
0,2,351.05,0.155642,4.200046,11.63396
0,2,352.05,0.1548791,4.200046,11.61693
0,2,353.05,0.1539635,4.199893,11.61693
0,2,354.05,0.1542687,4.200046,11.61693
0,2,355.05,0.1542687,4.200046,11.61693
0,2,356.05,0.1545739,4.200198,11.63396
0,2,357.05,0.1527428,4.200046,11.63396
0,2,358.05,0.1532006,4.200046,11.63396
0,2,359.05,0.1528954,4.200046,11.63396
0,2,360.05,0.1535058,4.200046,11.63396
0,2,361.05,0.1518273,4.200046,11.61693
0,2,362.05,0.1524376,4.200046,11.61693
0,2,363.05,0.1513695,4.199893,11.61693
0,2,364.05,0.1509117,4.199893,11.61693
0,2,365.05,0.1515221,4.199893,11.61693
0,2,366.05,0.1515221,4.200046,11.61693
0,2,367.05,0.1509117,4.199893,11.61693
0,2,368.05,0.1515221,4.199893,11.61693
0,2,369.05,0.1516747,4.200046,11.61693
0,2,370.05,0.1499962,4.200046,11.61693
0,2,371.05,0.149691,4.200046,11.61693
0,2,372.05,0.1493858,4.199893,11.61693
0,2,373.05,0.149691,4.200046,11.61693
0,2,374.05,0.1487755,4.199893,11.5999
0,2,375.05,0.1490806,4.199893,11.5999
0,2,376.05,0.1489281,4.199893,11.5999
0,2,377.05,0.1478599,4.200046,11.5999
0,2,378.05,0.1477073,4.200046,11.5999
0,2,379.05,0.1472496,4.199893,11.5999
0,2,380.05,0.1475547,4.200046,11.5999
0,2,381.05,0.146334,4.200046,11.5999
0,2,382.05,0.1466392,4.200046,11.5999
0,2,383.05,0.1466392,4.200046,11.5999
0,2,384.05,0.1469444,4.200046,11.5999
0,2,385.05,0.1458762,4.200046,11.5999
0,2,386.05,0.1469444,4.200046,11.5999
0,2,387.05,0.1455711,4.200046,11.58288
